,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Białystok,Czteroletnia szkoła muzyczna II stopnia,0.0,0.0,0.0
Białystok,Dziewięcioletnia szkoła sztuki tańca,3.6666666666666665,3.6666666666666665,3.6666666666666665
Białystok,Gimnazjum,0.23076923076923078,3.75,1.5538798920377868
Białystok,Liceum ogólnokształcące,1.0,40.0,10.740675901323725
Białystok,Międzyszkolny ośrodek sportowy,0.0,0.0,0.0
Białystok,Młodzieżowy dom kultury,0.0,0.0,0.0
Białystok,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Białystok,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty,0.0,0.0,0.0
Białystok,Ognisko pracy pozaszkolnej,0.0,0.0,0.0
Białystok,Ośrodek dokształcania i doskonalenia zawodowego,0.0,0.0,0.0
Białystok,Placówka doskonalenia nauczycieli,0.0,0.0,0.0
Białystok,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Białystok,Poradnia specjalistyczna,0.0,0.0,0.0
Białystok,Przedszkole,1.0,39.0,7.739607410767084
Białystok,Punkt przedszkolny,1.0,25.0,5.667115384615384
Białystok,Specjalny Ośrodek Szkolno-Wychowawczy,0.6630434782608695,0.6630434782608695,0.6630434782608695
Białystok,Sześcioletnia szkoła muzyczna I stopnia,1.3333333333333333,4.428571428571429,2.8904761904761904
Białystok,Sześcioletnia szkoła muzyczna II stopnia,1.0,1.0,1.0
Białystok,Szkolne schronisko młodzieżowe,0.0,0.0,0.0
Białystok,Szkoła podstawowa,0.8064516129032258,20.387096774193548,6.952660119614501
Białystok,Szkoła policealna,1.2,131.0,20.863850595536178
Białystok,Szkoła policealna muzyczna,1.0857142857142856,1.0857142857142856,1.0857142857142856
Białystok,Szkoła specjalna przysposabiająca do pracy,1.0,1.0,1.0
Białystok,Technikum,2.64,4.294117647058823,3.6736913895993184
Białystok,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biecz,Liceum ogólnokształcące,7.904761904761905,7.904761904761905,7.904761904761905
Biecz,Przedszkole,8.294117647058824,9.5,8.897058823529413
Biecz,Szkoła podstawowa,3.6666666666666665,7.730769230769231,5.496835721468074
Biecz,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bielany,Szkoła podstawowa,2.25,2.25,2.25
Bielany,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bielawa,Branżowa szkoła I stopnia,3.4166666666666665,3.4166666666666665,3.4166666666666665
Bielawa,Gimnazjum,0.35714285714285715,0.35714285714285715,0.35714285714285715
Bielawa,Liceum ogólnokształcące,1.3571428571428572,4.0,2.678571428571429
Bielawa,Placówka doskonalenia nauczycieli,0.0,0.0,0.0
Bielawa,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Bielawa,Przedszkole,7.363636363636363,15.166666666666666,11.524179292929292
Bielawa,Punkt przedszkolny,9.0,9.0,9.0
Bielawa,Sześcioletnia szkoła muzyczna I stopnia,3.0,3.0,3.0
Bielawa,Szkoła podstawowa,0.7692307692307693,11.616438356164384,6.938115787996413
Bielawa,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bielawy,Gimnazjum,1.0714285714285714,2.1538461538461537,1.6126373626373627
Bielawy,Przedszkole,6.2,9.25,7.816666666666666
Bielawy,Szkoła podstawowa,5.055555555555555,8.25,6.659722222222222
Bielice,Szkoła podstawowa,10.085714285714285,10.085714285714285,10.085714285714285
Bieliny,Punkt przedszkolny,5.0,24.0,15.375
Bieliny,Szkoła podstawowa,3.7777777777777777,9.28888888888889,5.9940321819040365
Bieliny,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bielsk,Gimnazjum,5.0,5.0,5.0
Bielsk,Przedszkole,12.5,12.5,12.5
Bielsk,Szkoła podstawowa,0.3157894736842105,8.869565217391305,4.061784897025172
Bielsk,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bielsk Podlaski,Czteroletnie liceum plastyczne,3.3333333333333335,3.3333333333333335,3.3333333333333335
Bielsk Podlaski,Gimnazjum,1.1333333333333333,1.1333333333333333,1.1333333333333333
Bielsk Podlaski,Liceum ogólnokształcące,7.333333333333333,9.12,8.226666666666667
Bielsk Podlaski,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Bielsk Podlaski,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty,0.0,0.0,0.0
Bielsk Podlaski,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Bielsk Podlaski,Przedszkole,1.75,14.5,8.658671652421653
Bielsk Podlaski,Punkt przedszkolny,4.0,4.0,4.0
Bielsk Podlaski,Sześcioletnia szkoła muzyczna I stopnia,7.428571428571429,7.428571428571429,7.428571428571429
Bielsk Podlaski,Szkoła podstawowa,0.75,9.583333333333334,7.347771139903183
Bielsk Podlaski,Szkoła policealna,7.833333333333333,7.833333333333333,7.833333333333333
Bielsk Podlaski,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bielsko-Biała,Biblioteki pedagogiczne,0.0,0.0,0.0
Bielsko-Biała,Branżowa szkoła I stopnia,1.0,11.516129032258064,6.258064516129032
Bielsko-Biała,Bursa,0.0,0.0,0.0
Bielsko-Biała,Delegatura,0.0,0.0,0.0
Bielsko-Biała,Gimnazjum,0.5,2.6666666666666665,1.218772648919708
Bielsko-Biała,Liceum ogólnokształcące,1.0588235294117647,75.85714285714286,11.322416763613624
Bielsko-Biała,Młodzieżowy Ośrodek Socjoterapii ze szkołami,1.4146341463414633,1.4146341463414633,1.4146341463414633
Bielsko-Biała,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Bielsko-Biała,Ognisko pracy pozaszkolnej,0.0,0.0,0.0
Bielsko-Biała,Ośrodek dokształcania i doskonalenia zawodowego,0.0,0.0,0.0
Bielsko-Biała,Placówka doskonalenia nauczycieli,0.0,0.0,0.0
Bielsko-Biała,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Bielsko-Biała,Pozaszkolna placówka specjalistyczna,0.0,0.0,0.0
Bielsko-Biała,Przedszkole,1.6333333333333333,17.333333333333332,7.405209821314285
Bielsko-Biała,Punkt przedszkolny,1.2222222222222223,7.5,3.936111111111111
Bielsko-Biała,Specjalny Ośrodek Szkolno-Wychowawczy,0.36585365853658536,0.36585365853658536,0.36585365853658536
Bielsko-Biała,Szkoła podstawowa,0.3333333333333333,17.7027027027027,6.925854444088797
Bielsko-Biała,Szkoła policealna,2.6666666666666665,37.0,17.509533201840895
Bielsko-Biała,Technikum,0.6875,35.25,11.776849160206718
Bielsko-Biała,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bierawa,Przedszkole,7.714285714285714,9.0,8.357142857142858
Bierawa,Szkoła podstawowa,4.166666666666667,9.25,6.341991341991342
